Year,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
2015,100,100,100,100,100,100,100,100
2016,104,104,99,100,91,106,89,100
2017,105,103,97,99,82,110,81,105
2018,105,105,96,101,77,119,78,110
2019,100,105,96,103,78,128,72,114
2020,98,103,96,103,79,128,70,114
2021,100,102,99,108,88,133,78,118
2022,104,100,107,112,93,136,83,122
2023,108,105,114,120,102,134,83,116
2024,115,114,118,129,114,129,84,112
2025,115,117,120,132,118,129,83,111
