Year,WPI,Inflation Rate (%)
2015,2.2,1.51
2016,1.9,1.28
2017,2.1,1.95
2018,2.3,1.91
2019,2.2,1.61
2020,1.3,0.85
2021,2.4,2.86
2022,3.3,6.59
2023,4.3,5.6
2024,3.2,3.17
2025,3.4,3.8
