Year,Inflation Rate (%),Value of 100$
2015,1.51,100
2016,1.28,98.44
2017,1.95,96.52
2018,1.91,94.68
2019,1.61,93.16
2020,0.85,92.37
2021,2.86,89.72
2022,6.59,83.81
2023,5.60,79.36
2024,3.17,76.85
2025,3.80,73.93
