Year,Big Mac Price (USD),Estimated Big Mac Price (AUD)
2015,4.32,5.98
2016,3.74,4.99
2017,4.28,5.58
2018,4.71,6.31
2019,4.35,6.24
2020,4.45,6.45
2021,4.98,6.65
2022,4.51,6.47
2023,5.11,7.65
2024,5.07,7.75
2025,4.87,7.75
2026,5.7,9.01
