Year,Price (AUD),,
,Netflix,Disney +,STAN
2015,11.99,,10
2016,11.99,,10
2017,13.99,,12
2018,13.99,,12
2019,15.99,8.99,14
2020,15.99,8.99,14
2021,16.99,11.99,16
2022,16.99,11.99,16
2023,16.99,13.99,16
2024,18.99,13.99,17
2025,20.99,15.99,17
