Year,ASX200 Growth (%),Inflation (%),,,
2015,-2.13,1.51,,,
2016,6.98,1.28,,,
2017,7.05,1.95,,,
2018,-6.9,1.91,,,
2019,18.38,1.61,,,
2020,-1.45,0.85,,,
2021,13.02,2.86,,,
2022,-5.45,6.59,,,
2023,7.84,5.6,,,
2024,7.49,3.17,,,
2025,6.81,3.8,,,
,,,,,
,,,,,
