Year,Gold Price,Cash 
2015,100,100
2016,113.81,98.44
2017,102.78,96.52
2018,105.46,94.68
2019,123.02,93.16
2020,155.57,92.37
2021,139.57,89.72
2022,153.17,83.81
2023,156.49,79.36
2024,180,76.85
2025,251.23,73.93
