Year,ASX200,CPI Index
2015,100.0,100.0
2016,106.9846485016711,101.4960942671786
2017,114.52444343737609,103.52177942539389
2018,106.61832738533583,105.38858731629814
2019,126.21273060291927,107.25539520720244
2020,124.38112502124285,108.22189858334437
2021,140.57289601389755,112.04819277108433
2022,132.9084763685115,120.89236065139679
2023,143.33352215865105,125.81755593803787
2024,154.0644649634623,128.8362240169469
2025,164.54804660208842,133.68198066993247
