Year,CPI Growth,Coffee Price Growth
2015,1.7,-0.2308
2016,1.5,0.0817
2017,2,-0.0792
2018,1.8,-0.1929
2019,1.8,0.2734
2020,0.9,-0.0112
2021,3.5,0.763
2022,7.9,-0.2614
2023,4.1,0.1743
2024,2.4,0.6342
2025,3.8,0.0872
