Year,Index (2015=100)
Jul-05,100
Jul-05,93.61
Jul-05,108.75
Jul-05,122.24
Jul-05,121.64
Jul-05,117.92
Jul-05,113.8
Jul-05,153.48
Jul-05,155.25
Jul-05,164.9
Jul-05,150.31
